ID_Post,ID_Annotator,Category,Value
3326,1,ArgumentsUsed,0
3326,1,Discriminating,0
3326,1,Inappropriate,0
3326,1,OffTopic,0
3326,1,PersonalStories,0
3326,1,PossiblyFeedback,0
3326,1,SentimentNegative,0
3326,1,SentimentNeutral,1
3326,1,SentimentPositive,0
3326,2,ArgumentsUsed,1
3326,2,Discriminating,0
3326,2,Inappropriate,0
3326,2,OffTopic,0
3326,2,PersonalStories,0
3326,2,PossiblyFeedback,0
3326,2,SentimentNegative,0
3326,2,SentimentNeutral,1
3326,2,SentimentPositive,0
3326,3,ArgumentsUsed,0
3326,3,Discriminating,0
3326,3,Inappropriate,0
3326,3,OffTopic,0
3326,3,PersonalStories,0
3326,3,PossiblyFeedback,0
3326,3,SentimentNegative,0
3326,3,SentimentNeutral,1
3326,3,SentimentPositive,0
5321,1,ArgumentsUsed,1
5321,1,Discriminating,0
5321,1,Inappropriate,0
5321,1,OffTopic,0
5321,1,PersonalStories,0
5321,1,PossiblyFeedback,0
5321,1,SentimentNegative,1
5321,1,SentimentNeutral,0
5321,1,SentimentPositive,0
5321,2,ArgumentsUsed,0
5321,2,Discriminating,0
5321,2,Inappropriate,0
5321,2,OffTopic,0
5321,2,PersonalStories,0
5321,2,PossiblyFeedback,0
5321,2,SentimentNegative,1
5321,2,SentimentNeutral,0
5321,2,SentimentPositive,0
5321,3,ArgumentsUsed,1
5321,3,Discriminating,0
5321,3,Inappropriate,0
5321,3,OffTopic,0
5321,3,PersonalStories,0
5321,3,PossiblyFeedback,0
5321,3,SentimentNegative,0
5321,3,SentimentNeutral,1
5321,3,SentimentPositive,0
5590,1,ArgumentsUsed,1
5590,1,Discriminating,0
5590,1,Inappropriate,0
5590,1,OffTopic,0
5590,1,PersonalStories,0
5590,1,PossiblyFeedback,0
5590,1,SentimentNegative,0
5590,1,SentimentNeutral,1
5590,1,SentimentPositive,0
5590,2,ArgumentsUsed,0
5590,2,Discriminating,0
5590,2,Inappropriate,0
5590,2,OffTopic,0
5590,2,PersonalStories,0
5590,2,PossiblyFeedback,0
5590,2,SentimentNegative,0
5590,2,SentimentNeutral,1
5590,2,SentimentPositive,0
5590,3,ArgumentsUsed,1
5590,3,Discriminating,0
5590,3,Inappropriate,0
5590,3,OffTopic,0
5590,3,PersonalStories,0
5590,3,PossiblyFeedback,0
5590,3,SentimentNegative,0
5590,3,SentimentNeutral,1
5590,3,SentimentPositive,0
6015,1,ArgumentsUsed,0
6015,1,Discriminating,0
6015,1,Inappropriate,0
6015,1,OffTopic,0
6015,1,PersonalStories,0
6015,1,PossiblyFeedback,0
6015,1,SentimentNegative,0
6015,1,SentimentNeutral,1
6015,1,SentimentPositive,0
6015,2,ArgumentsUsed,0
6015,2,Discriminating,0
6015,2,Inappropriate,1
6015,2,OffTopic,0
6015,2,PersonalStories,0
6015,2,PossiblyFeedback,0
6015,2,SentimentNegative,1
6015,2,SentimentNeutral,0
6015,2,SentimentPositive,0
6015,3,ArgumentsUsed,1
6015,3,Discriminating,0
6015,3,Inappropriate,1
6015,3,OffTopic,0
6015,3,PersonalStories,0
6015,3,PossiblyFeedback,0
6015,3,SentimentNegative,1
6015,3,SentimentNeutral,0
6015,3,SentimentPositive,0
8213,1,ArgumentsUsed,0
8213,1,Discriminating,0
8213,1,Inappropriate,0
8213,1,OffTopic,0
8213,1,PersonalStories,0
8213,1,PossiblyFeedback,0
8213,1,SentimentNegative,0
8213,1,SentimentNeutral,1
8213,1,SentimentPositive,0
8213,2,ArgumentsUsed,0
8213,2,Discriminating,0
8213,2,Inappropriate,0
8213,2,OffTopic,0
8213,2,PersonalStories,0
8213,2,PossiblyFeedback,0
8213,2,SentimentNegative,0
8213,2,SentimentNeutral,1
8213,2,SentimentPositive,0
8213,3,ArgumentsUsed,0
8213,3,Discriminating,0
8213,3,Inappropriate,0
8213,3,OffTopic,0
8213,3,PersonalStories,0
8213,3,PossiblyFeedback,0
8213,3,SentimentNegative,0
8213,3,SentimentNeutral,1
8213,3,SentimentPositive,0
9724,1,ArgumentsUsed,0
9724,1,Discriminating,0
9724,1,Inappropriate,1
9724,1,OffTopic,1
9724,1,PersonalStories,0
9724,1,PossiblyFeedback,0
9724,1,SentimentNegative,1
9724,1,SentimentNeutral,0
9724,1,SentimentPositive,0
9724,2,ArgumentsUsed,0
9724,2,Discriminating,0
9724,2,Inappropriate,1
9724,2,OffTopic,0
9724,2,PersonalStories,0
9724,2,PossiblyFeedback,0
9724,2,SentimentNegative,1
9724,2,SentimentNeutral,0
9724,2,SentimentPositive,0
9724,3,ArgumentsUsed,0
9724,3,Discriminating,0
9724,3,Inappropriate,1
9724,3,OffTopic,1
9724,3,PersonalStories,0
9724,3,PossiblyFeedback,0
9724,3,SentimentNegative,1
9724,3,SentimentNeutral,0
9724,3,SentimentPositive,0
12986,1,ArgumentsUsed,0
12986,1,Discriminating,0
12986,1,Inappropriate,0
12986,1,OffTopic,0
12986,1,PersonalStories,0
12986,1,PossiblyFeedback,0
12986,1,SentimentNegative,0
12986,1,SentimentNeutral,1
12986,1,SentimentPositive,0
12986,2,ArgumentsUsed,0
12986,2,Discriminating,0
12986,2,Inappropriate,0
12986,2,OffTopic,0
12986,2,PersonalStories,0
12986,2,PossiblyFeedback,0
12986,2,SentimentNegative,0
12986,2,SentimentNeutral,0
12986,2,SentimentPositive,1
12986,3,ArgumentsUsed,0
12986,3,Discriminating,0
12986,3,Inappropriate,0
12986,3,OffTopic,0
12986,3,PersonalStories,0
12986,3,PossiblyFeedback,0
12986,3,SentimentNegative,0
12986,3,SentimentNeutral,1
12986,3,SentimentPositive,0
13038,1,ArgumentsUsed,0
13038,1,Discriminating,0
13038,1,Inappropriate,0
13038,1,OffTopic,0
13038,1,PersonalStories,0
13038,1,PossiblyFeedback,0
13038,1,SentimentNegative,0
13038,1,SentimentNeutral,1
13038,1,SentimentPositive,0
13038,2,ArgumentsUsed,0
13038,2,Discriminating,0
13038,2,Inappropriate,0
13038,2,OffTopic,0
13038,2,PersonalStories,0
13038,2,PossiblyFeedback,0
13038,2,SentimentNegative,0
13038,2,SentimentNeutral,1
13038,2,SentimentPositive,0
13038,3,ArgumentsUsed,0
13038,3,Discriminating,0
13038,3,Inappropriate,0
13038,3,OffTopic,0
13038,3,PersonalStories,0
13038,3,PossiblyFeedback,0
13038,3,SentimentNegative,0
13038,3,SentimentNeutral,1
13038,3,SentimentPositive,0
13060,1,ArgumentsUsed,0
13060,1,Discriminating,0
13060,1,Inappropriate,0
13060,1,OffTopic,0
13060,1,PersonalStories,0
13060,1,PossiblyFeedback,0
13060,1,SentimentNegative,0
13060,1,SentimentNeutral,1
13060,1,SentimentPositive,0
13060,2,ArgumentsUsed,0
13060,2,Discriminating,0
13060,2,Inappropriate,0
13060,2,OffTopic,0
13060,2,PersonalStories,0
13060,2,PossiblyFeedback,0
13060,2,SentimentNegative,0
13060,2,SentimentNeutral,1
13060,2,SentimentPositive,0
13060,3,ArgumentsUsed,0
13060,3,Discriminating,0
13060,3,Inappropriate,0
13060,3,OffTopic,0
13060,3,PersonalStories,0
13060,3,PossiblyFeedback,0
13060,3,SentimentNegative,0
13060,3,SentimentNeutral,1
13060,3,SentimentPositive,0
13076,1,ArgumentsUsed,1
13076,1,Discriminating,0
13076,1,Inappropriate,0
13076,1,OffTopic,0
13076,1,PersonalStories,0
13076,1,PossiblyFeedback,0
13076,1,SentimentNegative,0
13076,1,SentimentNeutral,1
13076,1,SentimentPositive,0
13076,2,ArgumentsUsed,0
13076,2,Discriminating,1
13076,2,Inappropriate,1
13076,2,OffTopic,0
13076,2,PersonalStories,0
13076,2,PossiblyFeedback,0
13076,2,SentimentNegative,1
13076,2,SentimentNeutral,0
13076,2,SentimentPositive,0
13076,3,ArgumentsUsed,1
13076,3,Discriminating,0
13076,3,Inappropriate,1
13076,3,OffTopic,0
13076,3,PersonalStories,0
13076,3,PossiblyFeedback,0
13076,3,SentimentNegative,1
13076,3,SentimentNeutral,0
13076,3,SentimentPositive,0
14217,1,ArgumentsUsed,0
14217,1,Discriminating,0
14217,1,Inappropriate,0
14217,1,OffTopic,0
14217,1,PersonalStories,0
14217,1,PossiblyFeedback,0
14217,1,SentimentNegative,0
14217,1,SentimentNeutral,0
14217,1,SentimentPositive,1
14217,2,ArgumentsUsed,0
14217,2,Discriminating,0
14217,2,Inappropriate,0
14217,2,OffTopic,0
14217,2,PersonalStories,1
14217,2,PossiblyFeedback,0
14217,2,SentimentNegative,0
14217,2,SentimentNeutral,1
14217,2,SentimentPositive,0
