ID_Post,Category,Value
79,PossiblyFeedback,1
81,PossiblyFeedback,1
132,PossiblyFeedback,1
134,PossiblyFeedback,1
139,PossiblyFeedback,1
171,PossiblyFeedback,1
174,PossiblyFeedback,1
175,PossiblyFeedback,1
182,PossiblyFeedback,1
189,PersonalStories,1
190,PersonalStories,1
191,PersonalStories,0
192,PersonalStories,0
193,PersonalStories,1
194,PersonalStories,1
195,PersonalStories,1
196,PersonalStories,1
197,PersonalStories,0
198,PersonalStories,0
199,PersonalStories,0
200,PersonalStories,0
201,PersonalStories,0
202,PersonalStories,1
203,PersonalStories,1
204,PersonalStories,1
205,PersonalStories,1
206,PersonalStories,0
207,PersonalStories,0
208,PersonalStories,1
209,PersonalStories,1
210,PersonalStories,1
211,PersonalStories,0
212,PersonalStories,0
213,PersonalStories,1
214,PersonalStories,0
215,PersonalStories,0
216,PersonalStories,1
217,PersonalStories,1
218,PersonalStories,0
219,PersonalStories,0
220,PersonalStories,1
221,PersonalStories,0
222,PersonalStories,1
223,PersonalStories,0
224,PersonalStories,0
225,PersonalStories,0
226,PersonalStories,0
227,PersonalStories,1
228,PersonalStories,0
229,PersonalStories,0
230,PersonalStories,1
231,PersonalStories,1
232,PersonalStories,0
233,PersonalStories,1
234,PersonalStories,0
235,PersonalStories,0
236,PersonalStories,0
237,PersonalStories,0
238,PersonalStories,0
239,PersonalStories,0
240,PersonalStories,0
241,PersonalStories,1
242,PersonalStories,0
243,PersonalStories,0
244,PersonalStories,1
245,PersonalStories,0
246,PersonalStories,0
247,PersonalStories,0
248,PersonalStories,0
249,PersonalStories,0
250,PersonalStories,0
251,PersonalStories,1
252,PersonalStories,1
253,PersonalStories,0
254,PersonalStories,0
255,PersonalStories,0
256,PersonalStories,0
257,PersonalStories,0
258,PersonalStories,0
259,PersonalStories,0
260,PersonalStories,0
261,PersonalStories,0
262,PersonalStories,1
263,PersonalStories,1
264,PersonalStories,0
265,PersonalStories,0
266,PersonalStories,0
267,PersonalStories,0
268,PersonalStories,1
269,PersonalStories,0
270,PersonalStories,0
271,PersonalStories,0
272,PersonalStories,1
273,PersonalStories,1
274,PersonalStories,0
275,PersonalStories,0
276,PersonalStories,0
277,PersonalStories,0
278,PersonalStories,0
279,PersonalStories,0
280,PersonalStories,1
281,PersonalStories,0
282,PersonalStories,0
283,PersonalStories,0
284,PersonalStories,1
285,PersonalStories,1
286,PersonalStories,1
287,PersonalStories,0
288,PersonalStories,0
289,PersonalStories,0
290,PersonalStories,0
291,PersonalStories,0
292,PersonalStories,0
293,PersonalStories,0
294,PersonalStories,0
295,PersonalStories,0
296,PersonalStories,0
297,PersonalStories,0
298,PersonalStories,1
299,PersonalStories,0
300,PersonalStories,0
301,PersonalStories,0
302,PersonalStories,1
303,PersonalStories,0
304,PersonalStories,0
305,PersonalStories,0
306,PersonalStories,1
307,PersonalStories,0
308,PersonalStories,0
309,PersonalStories,0
310,PersonalStories,0
311,PersonalStories,1
312,PersonalStories,0
313,PersonalStories,0
314,PersonalStories,0
315,PersonalStories,1
316,PersonalStories,1
317,PersonalStories,1
318,PersonalStories,0
319,PersonalStories,1
320,PersonalStories,0
321,PersonalStories,1
322,PersonalStories,1
323,PersonalStories,1
324,PersonalStories,1
325,PersonalStories,0
326,PersonalStories,1
327,PersonalStories,0
328,PersonalStories,1
329,PersonalStories,0
330,PersonalStories,0
331,PersonalStories,0
332,PersonalStories,0
333,PersonalStories,1
334,PersonalStories,0
335,PersonalStories,0
336,PersonalStories,0
337,PersonalStories,1
338,PersonalStories,1
339,PersonalStories,0
340,PersonalStories,0
341,PersonalStories,1
342,PersonalStories,1
343,PersonalStories,0
344,PersonalStories,0
345,PersonalStories,1
346,PersonalStories,0
347,PersonalStories,0
348,PersonalStories,1
349,PersonalStories,1
350,PersonalStories,1
351,PersonalStories,1
352,PersonalStories,1
353,PersonalStories,0
354,PersonalStories,1
355,PersonalStories,0
356,PersonalStories,0
357,PersonalStories,1
358,PersonalStories,0
359,PersonalStories,0
360,PersonalStories,0
361,PersonalStories,1
362,PersonalStories,0
363,PersonalStories,0
364,PersonalStories,0
365,PersonalStories,0
366,PersonalStories,0
367,PersonalStories,1
368,PersonalStories,0
369,PersonalStories,0
370,PersonalStories,1
371,PersonalStories,0
372,PersonalStories,1
373,PersonalStories,1
374,PersonalStories,0
375,PersonalStories,0
376,PersonalStories,0
377,PersonalStories,0
378,PersonalStories,0
379,PersonalStories,0
380,PersonalStories,1
