ID_Post,Category,Fold
79,PossiblyFeedback,1
81,PossiblyFeedback,1
132,PossiblyFeedback,1
134,PossiblyFeedback,1
139,PossiblyFeedback,1
171,PossiblyFeedback,1
174,PossiblyFeedback,1
175,PossiblyFeedback,1
182,PossiblyFeedback,1
1477,PossiblyFeedback,1
2162,PossiblyFeedback,1
3238,PossiblyFeedback,1
3326,PossiblyFeedback,1
3422,PossiblyFeedback,1
3445,PossiblyFeedback,1
3474,PossiblyFeedback,1
3476,PossiblyFeedback,1
3484,PossiblyFeedback,1
3506,PossiblyFeedback,1
3514,PossiblyFeedback,1
3516,PossiblyFeedback,1
3528,PossiblyFeedback,1
3530,PossiblyFeedback,1
3532,PossiblyFeedback,1
3546,PossiblyFeedback,1
3582,PossiblyFeedback,1
3586,PossiblyFeedback,1
3595,PossiblyFeedback,1
3628,PossiblyFeedback,1
3662,PossiblyFeedback,1
3672,PossiblyFeedback,1
3739,PossiblyFeedback,1
3740,PossiblyFeedback,1
3741,PossiblyFeedback,1
3743,PossiblyFeedback,1
4037,PossiblyFeedback,1
4039,PossiblyFeedback,1
4040,PossiblyFeedback,1
4042,PossiblyFeedback,1
4043,PossiblyFeedback,1
4044,PossiblyFeedback,1
4048,PossiblyFeedback,1
4097,PossiblyFeedback,1
4101,PossiblyFeedback,1
4102,PossiblyFeedback,1
4105,PossiblyFeedback,1
4108,PossiblyFeedback,1
4259,PossiblyFeedback,1
4361,PossiblyFeedback,1
4363,PossiblyFeedback,1
4364,PossiblyFeedback,1
4365,PossiblyFeedback,1
4366,PossiblyFeedback,1
4367,PossiblyFeedback,1
4368,PossiblyFeedback,1
4369,PossiblyFeedback,1
4370,PossiblyFeedback,1
4371,PossiblyFeedback,1
4372,PossiblyFeedback,1
4373,PossiblyFeedback,1
4374,PossiblyFeedback,1
4375,PossiblyFeedback,1
4376,PossiblyFeedback,1
4377,PossiblyFeedback,1
4378,PossiblyFeedback,1
4379,PossiblyFeedback,1
4380,PossiblyFeedback,1
4381,PossiblyFeedback,1
4382,PossiblyFeedback,1
4383,PossiblyFeedback,1
4384,PossiblyFeedback,1
4385,PossiblyFeedback,1
4386,PossiblyFeedback,1
4387,PossiblyFeedback,1
4388,PossiblyFeedback,1
4389,PossiblyFeedback,1
4390,PossiblyFeedback,1
4391,PossiblyFeedback,1
4392,PossiblyFeedback,1
4393,PossiblyFeedback,1
4394,PossiblyFeedback,1
4395,PossiblyFeedback,1
4396,PossiblyFeedback,1
4397,PossiblyFeedback,1
4398,PossiblyFeedback,1
4399,PossiblyFeedback,1
4400,PossiblyFeedback,1
4403,PossiblyFeedback,1
4449,PossiblyFeedback,1
4454,PossiblyFeedback,1
4567,PossiblyFeedback,1
4568,PossiblyFeedback,1
4570,PossiblyFeedback,1
5033,PossiblyFeedback,1
5060,PossiblyFeedback,1
5064,PossiblyFeedback,1
5065,PossiblyFeedback,1
5066,PossiblyFeedback,1
5067,PossiblyFeedback,1
5068,PossiblyFeedback,1
5069,PossiblyFeedback,1
5070,PossiblyFeedback,1
5071,PossiblyFeedback,1
5072,PossiblyFeedback,1
5073,PossiblyFeedback,1
5074,PossiblyFeedback,1
5075,PossiblyFeedback,1
5080,PossiblyFeedback,1
5321,PossiblyFeedback,1
5323,PossiblyFeedback,1
5324,PossiblyFeedback,1
5325,PossiblyFeedback,1
5327,PossiblyFeedback,1
5329,PossiblyFeedback,1
5330,PossiblyFeedback,1
5331,PossiblyFeedback,1
5332,PossiblyFeedback,1
5333,PossiblyFeedback,1
5334,PossiblyFeedback,1
5335,PossiblyFeedback,1
5336,PossiblyFeedback,1
5337,PossiblyFeedback,1
5338,PossiblyFeedback,1
5339,PossiblyFeedback,1
5340,PossiblyFeedback,1
5341,PossiblyFeedback,1
5342,PossiblyFeedback,1
5343,PossiblyFeedback,1
5344,PossiblyFeedback,1
5345,PossiblyFeedback,1
5346,PossiblyFeedback,1
5347,PossiblyFeedback,1
5348,PossiblyFeedback,1
5349,PossiblyFeedback,1
5350,PossiblyFeedback,1
5351,PossiblyFeedback,1
5352,PossiblyFeedback,1
5353,PossiblyFeedback,1
5354,PossiblyFeedback,1
5355,PossiblyFeedback,1
5356,PossiblyFeedback,1
5357,PossiblyFeedback,1
5358,PossiblyFeedback,1
5359,PossiblyFeedback,1
5360,PossiblyFeedback,1
5361,PossiblyFeedback,1
5362,PossiblyFeedback,1
5363,PossiblyFeedback,1
5364,PossiblyFeedback,1
5365,PossiblyFeedback,1
